,MVT_GT_Oklahoma City OK
2017-02-19,22.0
2017-05-07,27.0
2017-05-21,25.0
2017-06-18,15.0
2017-06-25,18.0
2017-08-06,20.0
2017-08-13,34.0
2017-09-10,19.0
2017-10-22,25.0
2017-11-12,19.0
2017-11-19,22.0
2017-12-17,23.0
2018-01-21,50.0
2018-02-04,20.0
2018-02-25,11.0
2018-03-18,13.0
2018-03-25,15.0
2018-04-15,13.0
2018-05-20,20.0
2018-08-26,13.0
2018-09-02,19.0
2018-09-09,25.0
2018-11-04,14.0
2018-12-09,17.0
2018-12-23,16.0
2019-01-27,11.0
2019-02-17,56.0
2019-02-24,10.0
2019-03-10,28.0
2019-03-24,9.0
2019-03-31,22.0
2019-04-21,17.0
2019-05-05,12.0
2019-05-12,12.0
2019-05-26,20.0
2019-06-16,39.0
2019-07-28,18.0
2019-10-27,25.0
2019-11-03,10.0
2019-12-01,13.0
2019-12-08,14.0
2019-12-29,16.0
2020-01-12,100.0
2020-03-01,11.0
2020-04-26,9.0
2020-05-24,9.0
2020-06-14,9.0
2020-07-26,15.0
2020-08-30,11.0
2020-09-06,12.0
2020-09-13,14.0
2020-11-15,30.0
2020-11-22,23.0
2020-12-06,17.0
2020-12-13,19.0
2020-12-20,16.0
2021-02-07,14.0
2021-02-21,10.0
2021-03-28,23.0
2021-04-18,23.0
2021-05-02,21.0
2021-06-06,13.0
2021-06-13,12.0
2021-07-11,12.0
2021-07-25,17.0
2021-08-01,14.0
2021-08-22,15.0
2021-09-05,14.0
2021-09-19,22.0
2021-09-26,13.0
2021-11-28,25.0
2021-12-05,26.0
2021-12-26,24.0
2022-02-13,9.0
2022-02-20,16.0
2022-03-06,17.0
2022-03-13,11.0
2022-03-20,12.0
2022-04-17,19.0
2022-05-15,17.0
2022-05-22,11.0
2022-08-21,11.0
2022-09-18,9.0
2022-10-16,16.0
2022-10-30,20.0
2022-11-06,18.0
2022-11-13,15.0
2022-11-20,21.0
2022-11-27,13.0
2022-12-11,16.0
2022-12-18,19.0
