,MVT_GT_Fresno-Visalia CA
2017-01-01,46.0
2017-02-26,14.0
2017-03-05,22.0
2017-03-19,19.0
2017-03-26,14.0
2017-04-02,40.0
2017-04-16,13.0
2017-05-07,21.0
2017-05-21,23.0
2017-07-09,46.0
2017-07-16,27.0
2017-08-20,24.0
2017-10-15,16.0
2017-10-22,23.0
2017-11-19,48.0
2017-12-03,66.0
2017-12-17,35.0
2017-12-24,17.0
2018-01-07,24.0
2018-01-14,100.0
2018-02-11,17.0
2018-03-11,17.0
2018-06-24,30.0
2018-07-08,12.0
2018-07-15,16.0
2018-08-26,29.0
2018-09-23,19.0
2018-09-30,13.0
2018-10-21,13.0
2018-12-09,23.0
2018-12-16,14.0
2018-12-23,25.0
2018-12-30,31.0
2019-01-06,13.0
2019-01-13,14.0
2019-02-03,13.0
2019-02-10,27.0
2019-03-17,13.0
2019-05-05,41.0
2019-06-30,16.0
2019-07-07,25.0
2019-07-28,23.0
2019-08-11,17.0
2019-09-22,18.0
2019-10-27,21.0
2019-12-01,14.0
2020-02-02,15.0
2020-02-23,25.0
2020-03-01,17.0
2020-04-19,12.0
2020-04-26,11.0
2020-05-03,11.0
2020-05-10,11.0
2020-05-24,20.0
2020-05-31,13.0
2020-06-21,17.0
2020-07-05,20.0
2020-07-19,14.0
2020-08-02,10.0
2020-08-09,25.0
2020-08-16,15.0
2020-08-23,14.0
2020-08-30,16.0
2020-09-20,18.0
2020-09-27,12.0
2020-10-11,22.0
2020-10-18,47.0
2020-11-22,15.0
2020-11-29,15.0
2021-01-10,16.0
2021-01-17,22.0
2021-01-24,37.0
2021-02-21,11.0
2021-02-28,19.0
2021-03-14,21.0
2021-05-30,12.0
2021-06-06,21.0
2021-06-20,40.0
2021-07-04,15.0
2021-07-18,28.0
2021-08-01,17.0
2021-08-22,18.0
2021-10-17,61.0
2021-10-31,18.0
2021-11-28,33.0
2021-12-12,20.0
2021-12-26,13.0
2022-01-09,37.0
2022-01-30,16.0
2022-03-20,10.0
2022-04-10,12.0
2022-04-17,15.0
2022-04-24,12.0
2022-05-08,15.0
2022-05-22,27.0
2022-06-12,36.0
2022-06-26,11.0
2022-07-17,11.0
2022-07-31,15.0
2022-08-07,18.0
2022-08-28,19.0
2022-09-18,18.0
2022-10-02,10.0
2022-10-30,62.0
2022-11-06,18.0
2022-11-27,25.0
2022-12-25,11.0
